"","az","date","senat","Anordnung","link","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"796","1BvQ42/13",2013-09-28,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/09/qk20130928_1bvq004213.html;jsessionid=B1A80688CC99F3B3389681B9C0BACDEF.2_cid370",2,"Gaier","Eichberger","Paulus","Gaier","Schluckebier","Paulus","Britz Eichberger Kirchhof Baer Masing","Schluckebier","Eichberger","Gaier Paulus Britz",2,0,"2","Britz Eichberger Kirchhof Baer",1,FALSE,1
"1412","1BvR1768/15",2015-08-13,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/08/rk20150813_1bvr176815.html;jsessionid=04D538A18A65A7BCBC346954028EEB4D.2_cid361",2,"Gaier","Schluckebier","Britz","Gaier","Schluckebier","Paulus","Britz Eichberger Kirchhof Baer Masing","Paulus","Britz","Gaier Schluckebier Britz",2,0,"1","Britz Eichberger Kirchhof Baer Masing",2,FALSE,0
"2107","1BvQ36/15",2015-09-24,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/09/qk20150924_1bvq003615.html;jsessionid=DA3972C577072AFF46CBD3C6B3A39218.2_cid393",2,"Gaier","Schluckebier","Britz","Gaier","Schluckebier","Paulus","Britz Eichberger Kirchhof Baer Masing","Paulus","Britz","Gaier Schluckebier Britz",2,0,"1","Britz Eichberger Kirchhof Baer Masing",2,FALSE,0
"4190","1BvR299/89",1998-02-25,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/02/rk19980225_1bvr029989.html;jsessionid=5EB9DB623F167BAC292EBF61501B435F.2_cid361",3,"Seidl","Grimm","Hömig","Seidl","Seibert","Haas","Steiner Jaeger Kühling Hömig Grimm","Seibert Haas","Grimm Hömig","Seidl Steiner Jaeger",1,0,"4 5","Steiner Jaeger Kühling Hömig Grimm",1,FALSE,1
"1322","1BvR1041/92",1998-03-09,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/03/rk19980309_1bvr104192.html;jsessionid=0E3D4EB62F5AFD59C76206072FC8DA05.2_cid392",3,"Papier","Haas","Steiner","Papier","Seibert","Haas","Steiner Jaeger Kühling Hömig Grimm","Seibert","Steiner","Papier Haas Steiner",0,1,"1","Steiner Jaeger Kühling Hömig Grimm",0,FALSE,0
"5021","1BvR672/98",1998-04-14,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/04/rk19980414_1bvr067298.html;jsessionid=94909819E4BC1AB7761BF329EED7A249.2_cid361",3,"Kühling","Jaeger","Steiner","Papier","Seibert","Haas","Steiner Jaeger Kühling Hömig Grimm","Papier Haas","Kühling Jaeger","Steiner Jaeger Kühling",2,0,"1 2","Jaeger Kühling Hömig Grimm",2,FALSE,0
"398","1BvR1403/99",1999-08-26,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/08/rk19990826_1bvr140399.html;jsessionid=E683CF216EB66EEE5C16E0B80893230D.2_cid370",3,"Jaeger","Steiner","Hohmann-Dennhardt","Papier","Haas","Hohmann-Dennhardt","Steiner Jaeger Kühling Hömig Grimm","Papier Haas","Jaeger Steiner","Hohmann-Dennhardt Steiner Jaeger",2,0,"1 2","Steiner Jaeger Kühling Hömig Grimm",2,FALSE,0
"5690","1BvR1532/03",2003-08-20,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/08/rk20030820_1bvr153203.html;jsessionid=FEDDEDCC9B35D235DC7F511507936931.2_cid394",3,"Steiner","Hohmann-Dennhardt","Bryde","Papier","Steiner","Hohmann-Dennhardt","Bryde Hömig Jaeger Hoffmann-Riem Haas","Papier","Bryde","Steiner Hohmann-Dennhardt Bryde",2,0,"1","Bryde Hömig Jaeger Hoffmann-Riem",2,FALSE,0
"5266","1BvR1070/02",2004-06-22,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/06/rk20040622_1bvr107002.html;jsessionid=CCEC9DB69AC2B1EF6CFCD9C4233D1D1F.2_cid383",3,"Steiner","Hohmann-Dennhardt","Bryde","Papier","Steiner","Hohmann-Dennhardt","Bryde Hömig Jaeger Hoffmann-Riem Haas","Papier","Bryde","Steiner Hohmann-Dennhardt Bryde",2,0,"1","Bryde Hömig Jaeger Hoffmann-Riem Haas",2,FALSE,0
"2651","1BvR293/01",2004-07-27,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/07/rk20040727_1bvr029301.html;jsessionid=9554C29B9B4590BB0BA796A500F631F7.2_cid393",3,"Steiner","Hohmann-Dennhardt","Bryde","Papier","Steiner","Hohmann-Dennhardt","Bryde Hömig Jaeger Hoffmann-Riem Haas","Papier","Bryde","Steiner Hohmann-Dennhardt Bryde",2,0,"1","Bryde Hömig Jaeger Hoffmann-Riem Haas",2,FALSE,0
