i	ID	dateofDecision	senateNumber	chamberNumberCitation	chamberNumberText	judgesFromText_raw	judgesFromText	judgesFromCitation	Anordnung	link
46	45	1BvR303/11	20.06.2011	1	2	2	 die Richter Gaier Paulus die Richterin Britz  	Gaier, Paulus, Britz	Gaier, Paulus, Britz	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/06/rk20110620_1bvr030311.html;jsessionid=F59D0307D760635D47E7290396324DC4.2_cid361
47	46	1BvL6/10	17.12.2013	1	NA	NA	 Vizepräsident Kirchhof Gaier Eichberger Schluckebier Masing Paulus Baer Britz  	Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz	Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/12/ls20131217_1bvl000610.html;jsessionid=EC96AD7626F4F98DDB14C162E5E04834.2_cid383
48	47	2BvR1413/01	19.02.2003	2	1	NA	 die Richter Sommer Di Fabio die Richterin Lübbe-Wolff  	Sommer, Di Fabio, Lübbe-Wolff	Sommer, DiFabio, Lübbe-Wolff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/02/rk20030219_2bvr141301.html;jsessionid=399D11A88B06EFC600FFA5833CBA2E1A.2_cid394
49	48	2BvR252/97	14.06.1998	2	NA	3	 die Richterin Präsidentin Limbach die Richterin Graßhof den Richter Kirchhof  	Limbach, Graßhof, Kirchhof	Limbach, Graßhof, Kirchhof	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/06/rk19980614_2bvr025297.html;jsessionid=A80AC76F2E663B765A48CA1567C7C390.2_cid393
50	49	2BvR2419/06	06.05.2008	2	1	1	 den Vizepräsidenten Hassemer die Richter Di Fabio Landau  	Hassemer, Di Fabio, Landau	Hassemer, DiFabio, Landau	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/05/rk20080506_2bvr241906.html;jsessionid=45B4D59DD02083EAD47B4078E498DDD9.2_cid361
51	50	2BvR1784/03	22.10.2003	2	3	NA	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/10/rk20031022_2bvr178403.html;jsessionid=C650F13022529CD2AABE54748D61FF61.2_cid394
52	51	1BvR536/03	02.10.2003	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde, 	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/10/rk20031002_1bvr053603.html;jsessionid=D169B845D9CB85BEAD85F6D7448BD132.2_cid394
53	52	2BvR740/15	07.06.2015	2	3	3	 die Richter Huber   Müller   Maidowski  	Huber, Müller, Maidowski	Huber, Müller, Maidowski	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/06/rk20150607_2bvr074015.html;jsessionid=92A949750BCDD9329CE36A79BD02D248.2_cid394
54	53	1BvL13/961BvL14/961BvL15/96	30.10.2002	1	NA	NA	 des Präsidenten Papier der Richterinnen Jaeger Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt der Richter Hoffmann-Riem Bryde  	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/10/ls20021030_1bvl001396.html;jsessionid=D7932414D1E859D50676BCFE4BA65281.2_cid393
55	54	2BvR2978/10	21.04.2011	2	3	3	 den Richter Mellinghoff die Richterin Lübbe-Wolff den Richter Huber  	Mellinghoff, Lübbe-Wolff, Huber	Mellinghoff, Lübbe-Wolff, Huber	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/04/rk20110421_2bvr297810.html;jsessionid=B90036CC1DF4004E54AECFF2307C4278.2_cid383
56	55	2BvR626/90	18.09.1998	2	1	1	 Sommer Jentsch Hassemer  	Sommer, Jentsch, Hassemer	Sommer, Jentsch, Hassemer	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/09/rk19980918_2bvr062690.html;jsessionid=8824619D920E8E0A4A7F07BACC9697D5.2_cid394
57	56	1BvQ28/011BvQ30/01	12.07.2001	1	1	1	 den Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/07/qk20010712_1bvq002801.html;jsessionid=B4ECEEA079C5353FEB10DBB19E913FEE.2_cid392
58	57	2BvR307/01	28.03.2002	2	4	4	 die Richterin Präsidentin Limbach die Richter Jentsch Di Fabio  	Limbach, Jentsch, Di Fabio	Limbach, Jentsch, DiFabio	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/03/rk20020328_2bvr030701.html;jsessionid=F38DEF64098EE1A9A586299319C3E411.2_cid393
